Key:2015-01-03 17:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-03 18:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-03 19:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-03 20:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-03 21:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-03 22:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-03 23:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-03 24:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-04 01:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-04 02:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-04 03:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-04 04:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-04 05:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-04 06:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-04 07:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-04 08:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-04 09:00:00 {'diffuse_radiation': 24.0, 'direct_normal_radiation': 147.0}
Key:2015-01-04 10:00:00 {'diffuse_radiation': 51.0, 'direct_normal_radiation': 312.0}
Key:2015-01-04 11:00:00 {'diffuse_radiation': 71.0, 'direct_normal_radiation': 379.0}
Key:2015-01-04 12:00:00 {'diffuse_radiation': 81.0, 'direct_normal_radiation': 426.0}
Key:2015-01-04 13:00:00 {'diffuse_radiation': 72.0, 'direct_normal_radiation': 460.0}
Key:2015-01-04 14:00:00 {'diffuse_radiation': 55.0, 'direct_normal_radiation': 441.0}
Key:2015-01-04 15:00:00 {'diffuse_radiation': 33.0, 'direct_normal_radiation': 282.0}
Key:2015-01-04 16:00:00 {'diffuse_radiation': 9.0, 'direct_normal_radiation': 0.0}
Key:2015-01-04 17:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-04 18:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-04 19:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-04 20:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-04 21:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-04 22:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-04 23:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-04 24:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-05 01:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-05 02:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-05 03:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-05 04:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-05 05:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-05 06:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-05 07:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-05 08:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-05 09:00:00 {'diffuse_radiation': 19.0, 'direct_normal_radiation': 15.0}
Key:2015-01-05 10:00:00 {'diffuse_radiation': 51.0, 'direct_normal_radiation': 36.0}
Key:2015-01-05 11:00:00 {'diffuse_radiation': 83.0, 'direct_normal_radiation': 42.0}
Key:2015-01-05 12:00:00 {'diffuse_radiation': 88.0, 'direct_normal_radiation': 66.0}
Key:2015-01-05 13:00:00 {'diffuse_radiation': 76.0, 'direct_normal_radiation': 61.0}
Key:2015-01-05 14:00:00 {'diffuse_radiation': 56.0, 'direct_normal_radiation': 23.0}
Key:2015-01-05 15:00:00 {'diffuse_radiation': 27.0, 'direct_normal_radiation': 34.0}
Key:2015-01-05 16:00:00 {'diffuse_radiation': 7.0, 'direct_normal_radiation': 0.0}
Key:2015-01-05 17:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-05 18:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-05 19:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-05 20:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-05 21:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-05 22:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-05 23:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-05 24:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-06 01:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-06 02:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-06 03:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-06 04:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-06 05:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-06 06:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-06 07:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-06 08:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-06 09:00:00 {'diffuse_radiation': 14.0, 'direct_normal_radiation': 1.0}
Key:2015-01-06 10:00:00 {'diffuse_radiation': 36.0, 'direct_normal_radiation': 6.0}
Key:2015-01-06 11:00:00 {'diffuse_radiation': 53.0, 'direct_normal_radiation': 63.0}
Key:2015-01-06 12:00:00 {'diffuse_radiation': 43.0, 'direct_normal_radiation': 58.0}
Key:2015-01-06 13:00:00 {'diffuse_radiation': 20.0, 'direct_normal_radiation': 1.0}
Key:2015-01-06 14:00:00 {'diffuse_radiation': 27.0, 'direct_normal_radiation': 66.0}
Key:2015-01-06 15:00:00 {'diffuse_radiation': 31.0, 'direct_normal_radiation': 146.0}
Key:2015-01-06 16:00:00 {'diffuse_radiation': 10.0, 'direct_normal_radiation': 0.0}
Key:2015-01-06 17:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-06 18:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-06 19:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-06 20:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-06 21:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-06 22:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-06 23:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-06 24:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-07 01:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-07 02:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-07 03:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-07 04:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-07 05:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-07 06:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-07 07:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-07 08:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-07 09:00:00 {'diffuse_radiation': 35.0, 'direct_normal_radiation': 63.0}
Key:2015-01-07 10:00:00 {'diffuse_radiation': 67.0, 'direct_normal_radiation': 191.0}
Key:2015-01-07 11:00:00 {'diffuse_radiation': 88.0, 'direct_normal_radiation': 227.0}
Key:2015-01-07 12:00:00 {'diffuse_radiation': 107.0, 'direct_normal_radiation': 210.0}
Key:2015-01-07 13:00:00 {'diffuse_radiation': 107.0, 'direct_normal_radiation': 159.0}
Key:2015-01-07 14:00:00 {'diffuse_radiation': 83.0, 'direct_normal_radiation': 55.0}
Key:2015-01-07 15:00:00 {'diffuse_radiation': 44.0, 'direct_normal_radiation': 10.0}
Key:2015-01-07 16:00:00 {'diffuse_radiation': 10.0, 'direct_normal_radiation': 0.0}
Key:2015-01-07 17:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-07 18:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-07 19:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-07 20:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-07 21:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-07 22:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-07 23:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-07 24:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-08 01:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-08 02:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-08 03:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-08 04:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-08 05:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-08 06:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-08 07:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-08 08:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-08 09:00:00 {'diffuse_radiation': 3.0, 'direct_normal_radiation': 0.0}
Key:2015-01-08 10:00:00 {'diffuse_radiation': 8.0, 'direct_normal_radiation': 0.0}
Key:2015-01-08 11:00:00 {'diffuse_radiation': 12.0, 'direct_normal_radiation': 0.0}
Key:2015-01-08 12:00:00 {'diffuse_radiation': 20.0, 'direct_normal_radiation': 0.0}
Key:2015-01-08 13:00:00 {'diffuse_radiation': 58.0, 'direct_normal_radiation': 30.0}
Key:2015-01-08 14:00:00 {'diffuse_radiation': 66.0, 'direct_normal_radiation': 220.0}
Key:2015-01-08 15:00:00 {'diffuse_radiation': 32.0, 'direct_normal_radiation': 315.0}
Key:2015-01-08 16:00:00 {'diffuse_radiation': 10.0, 'direct_normal_radiation': 125.0}
Key:2015-01-08 17:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-08 18:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-08 19:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-08 20:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-08 21:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-08 22:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-08 23:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-08 24:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-09 01:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-09 02:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-09 03:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-09 04:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-09 05:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-09 06:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-09 07:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-09 08:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-09 09:00:00 {'diffuse_radiation': 36.0, 'direct_normal_radiation': 18.0}
Key:2015-01-09 10:00:00 {'diffuse_radiation': 70.0, 'direct_normal_radiation': 153.0}
Key:2015-01-09 11:00:00 {'diffuse_radiation': 73.0, 'direct_normal_radiation': 374.0}
Key:2015-01-09 12:00:00 {'diffuse_radiation': 78.0, 'direct_normal_radiation': 417.0}
