261.5153622081,24.0165679176,-425.479634994
262.8908859307,24.5049098151,-424.5800762604
264.2706109797,24.9653426418,-423.6722748802
265.6537724996,25.3996912568,-422.756853819
267.0396952934,25.8095813217,-421.834362849
268.427815987,26.1964777487,-420.9052652821
269.8176512393,26.5617002942,-419.9699600664
271.2087591791,26.9064352815,-419.0288087404
272.6007804614,27.2317643294,-418.0821085623
273.9933840975,27.5386658083,-417.1301297397
275.3862862649,27.8280325237,-416.1731032944
276.7792247845,28.1006771969,-415.2112390232
278.1719775632,28.3573457098,-414.2447132363
279.5643363703,28.5987200136,-413.2736872048
280.9561247785,28.8254284093,-412.2982950036
282.3471527103,29.0380442368,-411.3186756408
283.7372717745,29.2371002583,-410.3349345377
285.1263473999,29.4230883108,-409.3471631079
286.5142463813,29.5964617733,-408.3554478074
287.90084105,29.7576399761,-407.3598674229
289.2860376358,29.9070143918,-406.3604727322
290.6697014065,30.0449431585,-405.3573405417
292.0517380524,30.1717625737,-404.3505151654
293.4320581461,30.2877850264,-403.3400339512
294.8105683867,30.393300302,-402.3259337795
296.1871795608,30.4885781275,-401.3082453375
297.5617991415,30.5738692527,-400.2869986367
298.9343703828,30.6494090597,-399.2621938749
300.304774198,30.7154132606,-398.2338746173
301.672952248,30.7720858778,-397.2020359314
303.0388256369,30.8196156909,-396.1666850216
304.4023166086,30.8581784058,-395.1278250359
305.7633481582,30.8879374478,-394.0854553121
307.1218436785,30.9090446802,-393.0395715918
308.4777266357,30.9216410568,-391.990166204
309.8309185478,30.9258572126,-390.9372295655
311.1813604282,30.9218139208,-389.8807333104
312.5289419814,30.9096228249,-388.8206856146
313.8736002019,30.8893866141,-387.7570539816
315.2152546029,30.8611995181,-386.689815738
316.5538232661,30.8251476628,-385.6189453913
317.8892226021,30.7813093902,-384.5444146862
319.2213671161,30.729755544,-383.4661926484
320.5501658363,30.6705498843,-382.3842483412
321.8755342858,30.6037487601,-381.2985409405
323.1973785924,30.5294019766,-380.2090324644
324.5156026251,30.4475526874,-379.1156818074
325.8301142736,30.358237065,-378.0184392519
327.1407983245,30.2614863763,-376.9172689677
328.4475649568,30.15734819,-375.8121241041
329.7503374689,30.0459232561,-374.7029813541
331.0490409387,29.9273223095,-373.5898234422
332.3436133523,29.8016572634,-372.4726247507
333.6339782924,29.6690436726,-371.3513748559
334.9200727223,29.5295979973,-370.2260546695
336.2018328757,29.3834388179,-369.0966486109
337.4791971756,29.2306864424,-367.9631421288
338.7521062591,29.0714627853,-366.8255217063
340.0205029983,28.9058912459,-365.6837748646
341.2843265437,28.7340974147,-364.5378956022
342.5435327813,28.5562061676,-363.3878658557
343.79807084,28.3723446672,-362.2336767178
345.0478919135,28.1826411206,-361.075320538
346.292960221,27.9872229165,-359.9127806575
347.5332081195,27.786223622,-358.7460734121
348.768607635,27.5797715938,-357.5751812796
349.9991198123,27.3679977625,-356.4001000906
351.2247079458,27.1510334742,-355.2208267052
352.4453375647,26.9290103795,-354.0373590056
353.6609764161,26.7020603236,-352.849695888
354.8715944453,26.4703152397,-351.6578372536
356.0771637738,26.2339070446,-350.4617839981
357.2776586745,25.9929675365,-349.2615380008
358.4730555455,25.7476282962,-348.0571021116
359.6633328809,25.498020591,-346.8484801384
360.8484712403,25.2442752813,-345.6356768324
362.0284507339,24.9865232786,-344.418700444
363.2032608259,24.724893299,-343.1975525413
364.3728973317,24.4595123043,-341.9722308152
365.5373253319,24.1905139702,-340.7427681478
366.6965469519,23.9180231936,-339.5091614984
367.8505491148,23.6421678916,-338.2714266372
368.9993321093,23.3630722643,-337.0295677938
370.1428915261,23.0808609858,-335.783596859
371.2812246599,22.795657639,-334.5335265353
372.4143304677,22.5075846556,-333.2793703161
373.5422095253,22.2167632591,-332.0211424649
374.6648639849,21.9233134112,-330.7588579941
375.7822975315,21.6273537611,-329.4925326428
376.8945153395,21.3290015985,-328.222182855
378.0015240293,21.0283728093,-326.9478257567
379.1033316238,20.7255818349,-325.669479133
380.1999435243,20.4207427461,-324.3871660774
381.2913782911,20.1139647978,-323.1008964308
382.3776651891,19.8053529058,-321.8106690866
383.4587722932,19.4950282143,-320.5165578669
384.5347387213,19.1830904319,-319.2185542195
385.6055797454,18.8696447032,-317.9166796872
386.6713117271,18.5547945289,-316.6109563321
387.7319520777,18.2386417465,-315.3014067123
388.7875192174,17.9212865146,-313.9880538582
389.8380325362,17.602827298,-312.6709212483
390.8835123545,17.2833608562,-311.3500327861
391.9239794136,16.9629823794,-310.0254133789
392.959469168,16.6417809892,-308.6970750391
393.990016186,16.3198437246,-307.3650981034
395.0157055483,15.9972386513,-306.0295429202
396.0366154583,15.674032807,-304.6904706087
397.0528152497,15.3502930928,-303.3479449445
398.064367055,15.0260859868,-302.0020307909
399.0713358097,14.7014745305,-300.6527812013
400.0737807122,14.3765212236,-299.3002490452
401.0717577355,14.0512873908,-297.9444840259
402.0653163943,13.725834402,-296.5855374239
403.0545124018,13.4002196709,-295.2234450461
404.039390953,13.0745022664,-293.8582503105
405.0200003682,12.7487385636,-292.4899857367
405.9963717661,12.4229891263,-291.118701534
406.9685489028,12.0973089125,-289.7444241457
407.9365642957,11.7717553341,-288.367189813
408.9004566357,11.4463825377,-286.9870201235
409.8602560196,11.1212464718,-285.6039431121
410.8159903685,10.7964028453,-284.2179843382
411.7676854015,10.4719072366,-282.8291670321
412.7153646064,10.1478152027,-281.4375122351
413.6590492075,9.8241823871,-280.0430389333
414.5987581243,9.5010646294,-278.6457641935
415.534514472,9.1785158162,-277.2456934717
